id,EAP,HPL,MWS
id02310,0.0031145267039433436,0.002063574179456228,0.003892616738781584
id24541,0.0327434543245828,0.026228660113812717,0.024293106096314455
id00134,0.01891978047540687,0.022475139391849162,0.019028805363866984
id27757,0.04706683093677038,0.03915617635224463,0.034752858557666334
id04081,0.0006590907132826163,0.00037362763694889924,0.0011068801338848314
id27337,0.01691235385848074,0.01463470713341381,0.016777972555727973
id24265,0.0024985138150582843,0.000839225153762143,0.000990366435581165
id25917,0.00435947582903273,0.006455135942978675,0.007769345245976307
id04951,0.05378266376034945,0.041196758061734784,0.03419677045212611
id14549,0.0006547829308428607,0.00022417658216933954,0.000312468554541651
id22505,0.006724448388458587,0.004460539173420706,0.005338445813186175
id24002,0.025316837398444033,0.028562395815370463,0.024711496194768534
id18982,0.005345958007736775,0.005788354313962178,0.006360588711941063
id15181,0.008180478853096003,0.005840087371385871,0.006932565049068155
id21888,0.01459045912345243,0.009967235730298328,0.0083678019690815
id12035,0.0005858584118067701,0.00020118411220325342,0.0015994153130776034
id17991,0.003769309634786204,0.004604242110708742,0.004549330311038613
id10707,0.009089420947884449,0.003713283899522906,0.006620096494526503
id07101,0.01633080322911372,0.010846697706501122,0.009781854580312362
id00345,0.014999698455229218,0.010473070069552223,0.008463131358602684
id05912,0.0028646753224375156,0.0022934988791170887,0.0017053368569900273
id13443,0.005914585289784524,0.0033281600275909644,0.004332191146018144
id09248,0.02440358752121583,0.02187733517273093,0.019711999322102117
id17542,0.0035840749898767114,0.0022590101741679597,0.0038396559668253723
id06995,0.01967364240236411,0.013375869402770595,0.013192528294292419
id25159,0.000728015232318707,0.0004655975168132437,0.0012816506813403312
id25729,0.014306145482428555,0.016497097200666777,0.016497280464360047
id26949,0.0169640472477578,0.011260562165890673,0.009660044804813075
id27191,0.005147800015508015,0.004161637063861586,0.006265259322419884
id07668,0.025114371623775524,0.019894234638156,0.026517458518475357
id02230,0.0009778666138245354,0.0007185146864401908,0.0013769800708615123
id15553,0.04312951778683371,0.027550727136862678,0.023932972847012214
id25688,0.0011932557358123185,0.0015577398402023335,0.0012604663725578461
id17545,0.00040493154933703233,0.0008104845663045352,0.00040250186686721146
id13929,0.0011544856938545177,0.0007702477438638845,0.0008473723512993926
id12880,0.0029896010131904294,0.0025406679312525147,0.0024679719731594803
id19282,0.00341607147472624,0.0036845433120652983,0.0032253110121333115
id14690,0.01210486865571341,0.013289647640397768,0.013949867333266251
id17975,0.027190722759737745,0.023032706788526754,0.021205493091267298
id08037,0.030326788375879883,0.023159165373340215,0.016518464773142536
id15412,0.012897500624628454,0.00880611599701098,0.00726092183519667
id25032,6.0308954156579274e-05,5.748117491521526e-05,9.532938952118166e-05
id27165,0.01914378516227417,0.01355406104500776,0.011476599282911146
id03327,0.01569325142802988,0.016169454503650055,0.015967672744797927
id18515,0.04287966640532786,0.036540782893602346,0.030616622267886175
id21003,0.004824716332526342,0.003943208599183767,0.004591698928603585
id23855,0.012746728239237006,0.015531413462091167,0.014474178975632749
id20724,0.0005815506293670144,0.0003391389319997701,0.00038131755808472665
id13303,0.001197563518252074,0.0005920561016267173,0.0006461214178657867
id16521,0.025303914051124764,0.02319365407828936,0.021104867624550494
id20775,0.02233585195013311,0.014985342300396626,0.01304953421001065
id13029,0.01896285829980443,0.011869862619991955,0.009866591815442305
id14660,0.001852346449094935,0.001603724780134506,0.0012075056006016342
id11028,0.002576053898973886,0.002879806863252285,0.003982650051107145
id14180,0.01428029878779002,0.014203598321549694,0.013722136013854537
id25860,0.02881044895708587,0.0195723400586308,0.0193571621499955
id11910,0.00020246577466851616,6.897740989825832e-05,0.000312468554541651
id08065,0.03588382772316467,0.03975398057136288,0.04100222964849935
id22674,0.004023468798731789,0.0028740587457607644,0.0037390305001085695
id25018,0.00666413943430201,0.0045927458757257,0.007462172768630276
id10892,0.012294411083062659,0.0145254929010749,0.013351410610161053
id10217,0.03131757833702368,0.028568143932861983,0.027073546624015593
id12996,0.0008744798352703996,0.0010863942058975686,0.0011386565970585589
id18262,0.005703503950236497,0.0044432948209461405,0.0039032088931728257
id08606,0.005040105454514126,0.006696556877622579,0.005391406585142385
id17233,0.0015034160714747261,0.0010748979709145254,0.0013346114532965432
id00101,0.0010597144801798928,0.0014830143128125538,0.0006355292634745445
id12225,3.8770041957800966e-05,4.5984939932172214e-05,4.766469476059083e-05
id01364,0.008994649734209824,0.010335115249755703,0.007181480677262352
id24973,0.0008658642703908883,0.00027016152210151175,0.001048623284732998
id25363,0.08096046317276796,0.06249928148531355,0.06049179372838538
id10061,0.017476673358088727,0.016956946599988504,0.01927772099206118
id17673,0.011609473675141509,0.011053629936195897,0.007409211996674063
id13249,0.0002067735571082718,0.0002816577570845548,0.0003230607089328934
id10107,0.000663398495722372,0.0008737138587112719,0.0008897409688643622
id04403,0.01967795018480387,0.01392194056446514,0.013489108617247208
id25728,0.012070406396195365,0.013209173995516469,0.01298598128366319
id16184,0.00012492569075291422,0.00010346611484738749,0.0002489156281941966
id03438,0.010342985637853344,0.0073288498016899455,0.006344700480354202
id22923,0.0007366307971982183,0.003535092257285739,0.00038131755808472665
id08610,0.004764407378369762,0.002379720641489912,0.0035748521070443125
id25355,0.00071509188499944,0.0005978042191182387,0.0008526684284950138
id16916,0.003657307291352558,0.0025464160487440367,0.003013467924308465
id12793,0.031205575993590022,0.02802782088865896,0.02518284706517882
id11859,0.0003273914654214304,0.00025291716962694716,0.0004077979440628327
